order_id,date,product_category,product_name,quantity,unit_price,customer_region,customer_age,payment_method,shipping_cost,discount_percent,revenue
1001,2024-01-05,Electronics,Wireless Headphones,2,79.99,North,28,Credit Card,5.99,0,165.97
1002,2024-01-05,Clothing,Winter Jacket,1,129.99,South,35,PayPal,8.99,10,125.98
1003,2024-01-06,Electronics,Smart Watch,1,249.99,West,42,Credit Card,0,15,212.49
1004,2024-01-06,Home & Garden,Plant Pot Set,3,24.99,North,31,Debit Card,12.99,0,87.96
1005,2024-01-07,Electronics,Bluetooth Speaker,1,59.99,East,25,Credit Card,5.99,0,65.98
1006,2024-01-08,Clothing,Running Shoes,2,89.99,West,29,PayPal,0,20,151.98
1007,2024-01-08,Books,Python Programming,1,49.99,North,33,Credit Card,3.99,0,53.98
1008,2024-01-09,Electronics,Laptop Stand,1,39.99,South,45,Debit Card,5.99,5,43.98
1009,2024-01-10,Home & Garden,LED Desk Lamp,2,34.99,East,27,Credit Card,7.99,0,77.97
1010,2024-01-10,Clothing,Yoga Pants,3,44.99,North,32,PayPal,0,0,134.97
1011,2024-01-11,Electronics,USB-C Hub,2,29.99,West,38,Credit Card,4.99,10,58.97
1012,2024-01-12,Books,Data Science Handbook,1,59.99,South,41,Debit Card,3.99,0,63.98
1013,2024-01-12,Electronics,Mechanical Keyboard,1,149.99,North,26,Credit Card,0,0,149.99
1014,2024-01-13,Clothing,Denim Jacket,1,79.99,East,34,PayPal,8.99,15,76.98
1015,2024-01-14,Home & Garden,Smart Thermostat,1,199.99,West,52,Credit Card,0,10,179.99
1016,2024-01-15,Electronics,Webcam HD,1,69.99,North,30,Debit Card,5.99,0,75.98
1017,2024-01-15,Books,Machine Learning Guide,2,44.99,South,28,Credit Card,3.99,5,89.47
1018,2024-01-16,Clothing,Hoodie,2,54.99,East,23,PayPal,0,0,109.98
1019,2024-01-17,Electronics,Portable Charger,3,24.99,West,36,Credit Card,4.99,0,79.96
1020,2024-01-18,Home & Garden,Air Purifier,1,159.99,North,48,Debit Card,0,20,127.99
1021,2024-01-19,Electronics,Gaming Mouse,1,79.99,South,22,Credit Card,5.99,0,85.98
1022,2024-01-19,Clothing,Sports Bra,2,34.99,West,27,PayPal,0,10,66.98
1023,2024-01-20,Books,JavaScript Basics,1,39.99,East,31,Credit Card,3.99,0,43.98
1024,2024-01-21,Electronics,Monitor 27inch,1,329.99,North,39,Credit Card,0,5,313.49
1025,2024-01-22,Home & Garden,Robot Vacuum,1,299.99,South,55,PayPal,0,15,254.99
1026,2024-01-22,Clothing,Sneakers,1,119.99,West,29,Debit Card,8.99,0,128.98
1027,2024-01-23,Electronics,Tablet Stand,2,19.99,East,33,Credit Card,4.99,0,44.97
1028,2024-01-24,Books,AI for Beginners,1,54.99,North,37,PayPal,3.99,10,53.48
1029,2024-01-25,Clothing,Windbreaker,1,69.99,South,41,Credit Card,8.99,0,78.98
1030,2024-01-26,Electronics,Noise Canceling Earbuds,2,129.99,West,25,Debit Card,0,0,259.98
1031,2024-01-27,Home & Garden,Smart Light Bulbs,4,14.99,North,44,Credit Card,5.99,5,62.95
1032,2024-01-28,Electronics,External SSD 1TB,1,109.99,East,32,PayPal,0,0,109.99
1033,2024-01-29,Clothing,Leather Belt,1,39.99,South,38,Credit Card,4.99,0,44.98
1034,2024-01-30,Books,Cloud Computing,1,64.99,West,46,Debit Card,3.99,15,59.23
1035,2024-02-01,Electronics,Wireless Mouse,2,34.99,North,27,Credit Card,4.99,0,74.97
1036,2024-02-02,Home & Garden,Coffee Maker,1,89.99,East,35,PayPal,0,10,80.99
1037,2024-02-03,Clothing,Thermal Socks,5,12.99,South,50,Credit Card,5.99,0,70.94
1038,2024-02-04,Electronics,Phone Case,3,19.99,West,24,Debit Card,3.99,0,63.96
1039,2024-02-05,Books,Web Development,1,49.99,North,29,Credit Card,3.99,0,53.98
1040,2024-02-06,Electronics,Smart Doorbell,1,179.99,East,47,PayPal,0,20,143.99
