date,region,product,quantity,revenue
2024-01-05,North,Widget A,15,450.00
2024-01-08,South,Widget B,22,660.00
2024-01-10,East,Widget A,18,540.00
2024-01-12,West,Widget C,30,1200.00
2024-01-15,North,Widget B,12,360.00
2024-01-18,South,Widget A,25,750.00
2024-01-20,East,Widget C,8,320.00
2024-01-22,West,Widget B,35,1050.00
2024-01-25,North,Widget C,20,800.00
2024-01-28,South,Widget C,15,600.00
2024-02-01,East,Widget B,28,840.00
2024-02-04,West,Widget A,40,1200.00
2024-02-07,North,Widget A,22,660.00
2024-02-10,South,Widget B,18,540.00
2024-02-13,East,Widget A,32,960.00
2024-02-16,West,Widget C,25,1000.00
2024-02-19,North,Widget B,14,420.00
2024-02-22,South,Widget A,30,900.00
2024-02-25,East,Widget C,12,480.00
2024-02-28,West,Widget B,45,1350.00
2024-03-02,North,Widget C,28,1120.00
2024-03-05,South,Widget C,20,800.00
2024-03-08,East,Widget B,35,1050.00
2024-03-11,West,Widget A,50,1500.00
2024-03-14,North,Widget A,18,540.00
2024-03-17,South,Widget B,24,720.00
2024-03-20,East,Widget A,38,1140.00
2024-03-23,West,Widget C,32,1280.00
2024-03-26,North,Widget B,16,480.00
2024-03-29,South,Widget A,28,840.00
2024-04-01,East,Widget C,15,600.00
2024-04-04,West,Widget B,42,1260.00
2024-04-07,North,Widget C,24,960.00
2024-04-10,South,Widget C,18,720.00
2024-04-13,East,Widget B,30,900.00
2024-04-16,West,Widget A,55,1650.00
2024-04-19,North,Widget A,20,600.00
2024-04-22,South,Widget B,26,780.00
2024-04-25,East,Widget A,42,1260.00
2024-04-28,West,Widget C,38,1520.00
2024-05-01,North,Widget B,18,540.00
2024-05-04,South,Widget A,32,960.00
2024-05-07,East,Widget C,22,880.00
2024-05-10,West,Widget B,48,1440.00
2024-05-13,North,Widget C,30,1200.00
2024-05-16,South,Widget C,25,1000.00
2024-05-19,East,Widget B,38,1140.00
2024-05-22,West,Widget A,60,1800.00
2024-05-25,North,Widget A,24,720.00
2024-05-28,South,Widget B,28,840.00
2024-06-01,East,Widget A,45,1350.00
2024-06-04,West,Widget C,42,1680.00
2024-06-07,North,Widget B,20,600.00
2024-06-10,South,Widget A,35,1050.00
2024-06-13,East,Widget C,28,1120.00
2024-06-16,West,Widget B,52,1560.00
2024-06-19,North,Widget C,35,1400.00
2024-06-22,South,Widget C,30,1200.00
2024-06-25,East,Widget B,42,1260.00
2024-06-28,West,Widget A,65,1950.00
2024-07-01,North,Widget A,28,840.00
2024-07-04,South,Widget B,32,960.00
2024-07-07,East,Widget A,50,1500.00
2024-07-10,West,Widget C,48,1920.00
2024-07-13,North,Widget B,22,660.00
2024-07-16,South,Widget A,38,1140.00
2024-07-19,East,Widget C,32,1280.00
2024-07-22,West,Widget B,58,1740.00
2024-07-25,North,Widget C,40,1600.00
2024-07-28,South,Widget C,35,1400.00
2024-08-01,East,Widget B,48,1440.00
2024-08-04,West,Widget A,70,2100.00
2024-08-07,North,Widget A,32,960.00
2024-08-10,South,Widget B,36,1080.00
2024-08-13,East,Widget A,55,1650.00
2024-08-16,West,Widget C,52,2080.00
2024-08-19,North,Widget B,25,750.00
2024-08-22,South,Widget A,42,1260.00
2024-08-25,East,Widget C,38,1520.00
2024-08-28,West,Widget B,62,1860.00
2024-09-01,North,Widget C,45,1800.00
2024-09-04,South,Widget C,40,1600.00
2024-09-07,East,Widget B,52,1560.00
2024-09-10,West,Widget A,75,2250.00
2024-09-13,North,Widget A,35,1050.00
2024-09-16,South,Widget B,40,1200.00
2024-09-19,East,Widget A,58,1740.00
2024-09-22,West,Widget C,55,2200.00
2024-09-25,North,Widget B,28,840.00
2024-09-28,South,Widget A,45,1350.00
2024-10-01,East,Widget C,42,1680.00
2024-10-04,West,Widget B,68,2040.00
2024-10-07,North,Widget C,50,2000.00
2024-10-10,South,Widget C,45,1800.00
2024-10-13,East,Widget B,58,1740.00
2024-10-16,West,Widget A,80,2400.00
2024-10-19,North,Widget A,38,1140.00
2024-10-22,South,Widget B,44,1320.00
2024-10-25,East,Widget A,62,1860.00
2024-10-28,West,Widget C,60,2400.00
